home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Stoke,West Brom,M Dean,15780.0,6.0,24.0,29.0,1.0,0.0,4.0,-3.0,3.0,0.0,2.0,2.0,D
Everton,Man City,L Probert,15780.0,7.0,30.0,41.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,H
Swansea,Arsenal,J Moss,15780.0,7.0,29.0,35.0,2.0,0.0,3.0,-3.0,3.0,1.0,1.0,2.0,A
Man United,Reading,L Mason,15780.0,5.0,53.0,18.0,5.0,0.0,0.0,10.0,1.0,0.0,4.0,-6.0,H
Chelsea,West Ham,M Oliver,15781.0,2.0,30.0,19.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-2.0,H
Sunderland,Norwich,C Foy,15781.0,8.0,21.0,26.0,0.0,1.0,4.0,-5.0,1.0,3.0,1.0,-3.0,D
Tottenham,Fulham,M Jones,15781.0,2.0,37.0,20.0,4.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,A
Wigan,Newcastle,M Halsey,15781.0,8.0,19.0,20.0,1.0,2.0,2.0,-4.0,3.0,0.0,2.0,2.0,H
Everton,Stoke,M Jones,15794.0,14.0,32.0,25.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,-2.0,H
Sunderland,Man United,K Friend,15794.0,13.0,22.0,53.0,0.0,2.0,3.0,-4.0,5.0,0.0,0.0,10.0,A
Man City,Newcastle,N Swarbrick,15794.0,14.0,38.0,19.0,2.0,1.0,2.0,-1.0,2.0,0.0,3.0,0.0,H
West Ham,West Brom,A Marriner,15794.0,12.0,19.0,27.0,2.0,0.0,3.0,-2.0,3.0,1.0,1.0,3.0,H
Arsenal,Reading,C Foy,15794.0,14.0,35.0,17.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,-8.0,H
Swansea,Tottenham,A Taylor,15794.0,14.0,28.0,37.0,2.0,0.0,3.0,-4.0,3.0,0.0,2.0,1.0,A
Wigan,Norwich,H Webb,15794.0,12.0,19.0,24.0,2.0,1.0,2.0,-3.0,1.0,3.0,1.0,-3.0,H
Southampton,Chelsea,J Moss,15794.0,14.0,27.0,33.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,H
Aston Villa,Liverpool,L Mason,15795.0,15.0,21.0,34.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,6.0,A
Fulham,QPR,L Probert,15796.0,15.0,22.0,19.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,-3.0,H
Norwich,Swansea,M Oliver,15801.0,7.0,23.0,27.0,1.0,2.0,2.0,-4.0,1.0,0.0,4.0,-8.0,D
Reading,Southampton,M Jones,15801.0,7.0,14.0,29.0,0.0,0.0,5.0,-10.0,2.0,1.0,2.0,0.0,A
Stoke,Aston Villa,M Clattenburg,15801.0,6.0,22.0,21.0,0.0,1.0,4.0,-4.0,2.0,0.0,3.0,-1.0,A
